source,target,value,sign,,,,,,,,,,,,,,
manure ,earthworms,-128.7804878,pos,,,,,,,,,,,,,,
defoliation_treading_excreta ,earthworms,-95.16,pos,,,,,,,,,,,,,,
irrigation ,earthworms,-719.175,pos,,,,,,,,,,,,,,
defoliation_treading_excreta_fertiliser ,vegetation diversity ,-590.327628,pos,,,,,,,,,,,,,,
defoliation_treading_excreta ,vegetation diversity ,-407.1894163,pos,,,,,,,,,,,,,,
hay cutting_grazing_lime_fertiliser,vegetation diversity ,-219.57,pos,,,,,,,,,,,,,,
urine,extractable organic N ,-5.885264,pos,,,,,,,,,,,,,,
urine,soil basification ,0.05944995,neg,,,,,,,,,,,,,,
urine,soil solution P,2.38E-11,neg,,,,,,,,,,,,,,
defoliation_treading_excreta_fertiliser ,N2O emissions,37.436193,neg,,,,,,,,,,,,,,
defoliation_treading_excreta ,N2O emissions,13.153257,neg,,,,,,,,,,,,,,
defoliation_treading_excreta ,leaching N,7.741223086,neg,,,,,,,,,,,,,,
fertiliser ,leaching N,0.287230902,neg,,,,,,,,,,,,,,
defoliation_treading_excreta ,leaching P,0.000252368,neg,,,,,,,,,,,,,,
fertiliser ,leaching P,1.71996E-06,neg,,,,,,,,,,,,,,
fertiliser ,nutrient N,-105.55776,pos,,,,,,,,,,,,,,
excreta,nutrient N,-293.216,pos,,,,,,,,,,,,,,
defoliation_treading_excreta ,carbon emissions ,7.779618,neg,,,,,,,,,,,,,,
treading,carbon emissions ,2.47816E-06,neg,,,,,,,,,,,,,,
fertiliser ,"organic matter 
",-11.56554703,pos,,,,,,,,,,,,,,
fertiliser ,soil acidification ,243.3045333,neg,,,,,,,,,,,,,,
treading,soil structure reduction ,344.1176472,neg,,,,,,,,,,,,,,
excreta,nutrient P,-33.92648648,pos,,,,,,,,,,,,,,
defoliation_treading_excreta ,carbon sequestration ,-9.45903E-08,pos,,,,,,,,,,,,,,
aforestattion,carbon sequestration ,-561.6,pos,,,,,,,,,,,,,,
irrigation ,carbon sequestration ,-1.94695E-06,pos,,,,,,,,,,,,,,
defoliation_treading_excreta_fertiliser ,CH4 sequestration,-1.6132608,pos,,,,,,,,,,,,,,
defoliation_treading_excreta ,runoff ,80.59140932,neg,,,,,,,,,,,,,,
defoliation,ant fauna,-31.75821886,pos,,,,,,,,,,,,,,
